file,line,snippet,type,module,target_stage
src/pages/TratamientoDatos.tsx,25,"{storeName}{nit ? ` — NIT: ${nit}` : """"}, con domicilio en Bucaramanga, Santander, Colombia. {email ? `Correo electrónico: ${email}` : """"}",COPY,pages,35/36
src/pages/Politicas.tsx,37,"Realizamos entregas en Bucaramanga y su Área Metropolitana (Floridablanca, Girón y Piedecuesta). Los tiempos de entrega varían según la zona. El costo de envío se calcula según el barrio de destino y ",COPY,pages,35/36
src/pages/Perfil.tsx,101,"{ key: ""city"", label: ""Ciudad"", icon: MapPin, placeholder: ""Bucaramanga, Floridablanca, Girón, Piedecuesta"" },",COPY,pages,35/36
src/pages/Index.tsx,38,<Flame size={12} /> Sabor Santandereano,COPY,pages,35/36
src/pages/Index.tsx,99,"description={s.seo_default_description || ""Salsas, cárnicos y pulpas al mayor en Bucaramanga.""}",COPY,pages,35/36
src/pages/Index.tsx,100,"canonical=""https://surteya.com""",COPY,pages,35/36
src/pages/Ayuda.tsx,11,"{ q: ""¿Cuánto demora la entrega?"", a: ""Las entregas se realizan en 24-48 horas hábiles dentro de Bucaramanga y Área Metropolitana (Floridablanca, Girón, Piedecuesta)."" },",COPY,pages,35/36
src/pages/Ayuda.tsx,15,"{ q: ""¿Hacen entregas fuera de Bucaramanga?"", a: ""Por ahora operamos en Bucaramanga y su Área Metropolitana (Floridablanca, Girón, Piedecuesta). Estamos en expansión."" },",COPY,pages,35/36
supabase/migrations/20260401042257_e219d9fa-6314-4d2a-ae0b-0a0b2f19d946.sql,41,"('seo_default_description', 'Salsas, cárnicos y pulpas al mayor en Bucaramanga. Directo de fábrica a tu negocio.'),",SEED,migrations,37
src/modules/tenant/lib/subdomain.ts,12,*   surteya.sistecpos.com  → tenant slug 'surteya' (storefront del negocio),COPY,tenant,35/36
src/modules/tenant/lib/subdomain.ts,17,* Override manual (solo para inspección puntual): `?tenant=surteya`. Para,COPY,tenant,35/36
src/modules/tenant/lib/subdomain.ts,22,"// Storefront tenant = cualquier slug de negocio (surteya, <futuro>, ...)",COPY,tenant,35/36
supabase/migrations/20260611031704_f337d6a0-4baf-4cfc-8166-7ada09ac46fb.sql,18,-- 1.b Backfill orphan persistent_carts to legacy tenant (surteya),SEED,migrations,37
supabase/migrations/20260611031704_f337d6a0-4baf-4cfc-8166-7ada09ac46fb.sql,20,SET organization_id = (SELECT id FROM public.organizations WHERE slug='surteya' LIMIT 1),SEED,migrations,37
